# m=0, S=4
1.60553 0.0945818
1.62814 0.132424
1.65075 0.170265
1.67337 0.208107
1.69598 0.245949
1.71859 0.283791
1.74121 0.321633
1.76382 0.359474
1.78643 0.397316
1.80905 0.435158
1.83166 0.473
1.85427 0.510842
1.87688 0.548683
1.8995 0.586525
1.92211 0.624367
1.94472 0.662209
1.96734 0.700051
1.98995 0.737893
2.01256 0.763887
2.03518 0.780403
2.05779 0.796919
2.0804 0.813435
2.10302 0.829951
2.12563 0.846467
2.14824 0.862983
2.17085 0.879499
2.19347 0.896016
2.21608 0.912532
2.23869 0.929048
2.26131 0.945564
2.28392 0.96208
2.30653 0.978596
2.32915 0.995112
2.35176 1.01163
2.37437 1.02814
2.39698 1.04466
2.4196 1.06118
2.44221 1.07769
2.46482 1.09421
2.48744 1.11072
2.51005 1.10208
2.53266 1.06197
2.55528 1.02186
2.57789 0.981758
2.6005 0.941652
2.62312 0.901546
2.64573 0.861441
2.66834 0.821335
2.69095 0.781229
2.71357 0.741123
2.73618 0.701017
2.75879 0.660911
2.78141 0.620806
2.80402 0.5807
2.82663 0.540594
2.84925 0.500488
2.87186 0.460382
2.89447 0.420276
2.91709 0.38017
2.9397 0.340065
2.96231 0.299959
2.98492 0.259853
3.00754 0.219868
3.03015 0.180125
3.05276 0.140381
3.07538 0.100638
3.09799 0.0608949
3.1206 0.0211517
3.14322 -0.0185916
3.16583 -0.0583348
3.18844 -0.0980781
3.21106 -0.137821
3.23367 -0.177565
3.25628 -0.217308
3.27889 -0.257051
3.30151 -0.296794
3.32412 -0.336538
3.34673 -0.376281
3.36935 -0.416024
3.39196 -0.455767
3.41457 -0.495511
3.43719 -0.535254
3.4598 -0.574997
3.48241 -0.61474
3.50503 -0.650752
3.52764 -0.673705
3.55025 -0.696657
3.57286 -0.719609
3.59548 -0.742561
3.61809 -0.765514
3.6407 -0.788466
3.66332 -0.811418
3.68593 -0.834371
3.70854 -0.857323
3.73116 -0.880275
3.75377 -0.903228
3.77638 -0.92618
3.79899 -0.949132
3.82161 -0.972085
3.84422 -0.995037
3.86683 -1.01799
3.88945 -1.04094
3.91206 -1.06389
3.93467 -1.08685
3.95729 -1.1098
3.9799 -1.13275
4.00251 -1.14926
4.02513 -1.11421
4.04774 -1.07915
4.07035 -1.0441
4.09296 -1.00905
4.11558 -0.973997
4.13819 -0.938944
4.1608 -0.903892
4.18342 -0.86884
4.20603 -0.833787
4.22864 -0.798735
4.25126 -0.763683
4.27387 -0.728631
4.29648 -0.693578
4.3191 -0.658526
4.34171 -0.623474
4.36432 -0.588421
4.38693 -0.553369
4.40955 -0.518317
4.43216 -0.483265
4.45477 -0.448212
4.47739 -0.41316
4.5 -0.378108
# m=4, S=0
0 0
0.0226131 0.0225916
0.0452261 0.0451284
0.0678392 0.0675925
0.0904523 0.0899658
0.113065 0.112231
0.135678 0.134369
0.158291 0.156363
0.180905 0.178194
0.203518 0.199845
0.226131 0.221298
0.248744 0.242535
0.271357 0.263537
0.29397 0.284288
0.316583 0.304769
0.339196 0.324962
0.361809 0.344849
0.384422 0.364412
0.407035 0.383634
0.429648 0.402496
0.452261 0.420981
0.474874 0.439071
0.497487 0.456747
0.520101 0.473993
0.542714 0.490802
0.565327 0.507168
0.58794 0.523086
0.610553 0.538551
0.633166 0.553558
0.655779 0.568103
0.678392 0.582179
0.701005 0.595782
0.723618 0.608907
0.746231 0.621549
0.768844 0.633703
0.791457 0.645363
0.81407 0.656525
0.836683 0.667184
0.859296 0.677334
0.88191 0.686971
0.904523 0.696089
0.927136 0.704683
0.949749 0.712749
0.972362 0.720281
0.994975 0.727275
1.01759 0.733727
1.0402 0.739651
1.06281 0.745071
1.08543 0.75001
1.10804 0.754489
1.13065 0.758532
1.15327 0.762162
1.17588 0.7654
1.19849 0.768271
1.22111 0.770797
1.24372 0.773
1.26633 0.774903
1.28894 0.77653
1.31156 0.777902
1.33417 0.779042
1.35678 0.779974
1.3794 0.78072
1.40201 0.781302
1.42462 0.781744
1.44724 0.782068
1.46985 0.782298
1.49246 0.782455
1.51508 0.782562
1.53769 0.78264
1.5603 0.782709
1.58291 0.782787
1.60553 0.782894
1.62814 0.783049
1.65075 0.783273
1.67337 0.783583
1.69598 0.784
1.71859 0.784542
1.74121 0.78523
1.76382 0.786082
1.78643 0.787118
1.80905 0.788357
1.83166 0.789819
1.85427 0.791522
1.87688 0.793487
1.8995 0.795732
1.92211 0.798277
1.94472 0.801142
1.96734 0.804345
1.98995 0.807906
2.01256 0.811844
2.03518 0.816172
2.05779 0.8209
2.0804 0.826035
2.10302 0.831586
2.12563 0.837561
2.14824 0.84397
2.17085 0.850819
2.19347 0.858119
2.21608 0.865876
2.23869 0.8741
2.26131 0.882799
2.28392 0.891982
2.30653 0.901657
2.32915 0.911832
2.35176 0.922515
2.37437 0.933717
2.39698 0.945444
2.4196 0.957705
2.44221 0.970508
2.46482 0.983863
2.48744 0.997778
2.51005 1.01226
2.53266 1.0273
2.55528 1.04289
2.57789 1.059
2.6005 1.07561
2.62312 1.09271
2.64573 1.11026
2.66834 1.12826
2.69095 1.14667
2.71357 1.16549
2.73618 1.18468
2.75879 1.20423
2.78141 1.22412
2.80402 1.24433
2.82663 1.26484
2.84925 1.28562
2.87186 1.30665
2.89447 1.32793
2.91709 1.34941
2.9397 1.37109
2.96231 1.39295
2.98492 1.41496
3.00754 1.4371
3.03015 1.45935
3.05276 1.4817
3.07538 1.50412
3.09799 1.52659
3.1206 1.54909
3.14322 1.5716
3.16583 1.5941
3.18844 1.61657
3.21106 1.639
3.23367 1.66135
3.25628 1.68361
3.27889 1.70576
3.30151 1.72778
3.32412 1.74964
3.34673 1.77134
3.36935 1.79284
3.39196 1.81413
3.41457 1.83518
3.43719 1.85599
3.4598 1.87652
3.48241 1.89675
3.50503 1.91667
3.52764 1.93626
3.55025 1.9555
3.57286 1.97439
3.59548 1.99291
3.61809 2.01105
3.6407 2.0288
3.66332 2.04615
3.68593 2.06308
