# m=0, S=4
2.80402 4.66278
2.82663 4.82072
2.84925 4.98147
2.87186 5.14503
2.89447 5.3114
2.91709 5.48059
2.9397 5.65259
2.96231 5.8274
2.98492 6.00502
3.00754 6.18549
3.03015 6.36916
3.05276 6.55616
3.07538 6.74648
3.09799 6.94013
3.1206 7.1371
3.14322 7.33739
3.16583 7.54101
3.18844 7.74795
3.21106 7.95821
3.23367 8.1718
3.25628 8.38871
3.27889 8.60895
3.30151 8.83251
3.32412 9.05939
3.34673 9.2896
3.36935 9.52313
3.39196 9.75998
3.41457 10.0002
3.43719 10.2437
3.4598 10.4905
3.48241 10.7406
3.50503 10.9941
3.52764 11.2513
3.55025 11.5123
3.57286 11.7771
3.59548 12.0458
3.61809 12.3183
3.6407 12.5947
3.66332 12.8748
3.68593 13.1588
3.70854 13.4467
3.73116 13.7384
3.75377 14.0339
3.77638 14.3332
3.79899 14.6364
3.82161 14.9435
3.84422 15.2543
3.86683 15.569
3.88945 15.8875
3.91206 16.2099
3.93467 16.5361
3.95729 16.8661
3.9799 17.2
4.00251 17.5377
4.02513 17.8796
4.04774 18.2258
4.07035 18.5763
4.09296 18.9312
4.11558 19.2904
4.13819 19.654
4.1608 20.022
4.18342 20.3942
4.20603 20.7709
4.22864 21.1518
4.25126 21.5371
4.27387 21.9268
4.29648 22.3208
4.3191 22.7192
4.34171 23.1219
4.36432 23.5289
4.38693 23.9403
4.40955 24.3561
4.43216 24.7762
4.45477 25.2006
4.47739 25.6294
4.5 26.0625
