# m=0, S=4
1.08543 1.80601
1.10804 1.60897
1.13065 1.40624
1.15327 1.19782
1.17588 0.983698
1.19849 0.763885
1.22111 0.538378
1.24372 0.307176
1.26633 0.0702806
1.28894 -0.172309
1.31156 -0.420594
1.33417 -0.674572
1.35678 -0.934245
1.3794 -1.19961
1.40201 -1.47067
1.42462 -1.74743
1.44724 -2.02988
1.46985 -2.31802
1.49246 -2.61186
1.51508 -2.9002
1.53769 -3.14666
1.5603 -3.34843
1.58291 -3.50553
1.60553 -3.61795
1.62814 -3.68569
1.65075 -3.70875
1.67337 -3.68712
1.69598 -3.62082
1.71859 -3.50984
1.74121 -3.35418
1.76382 -3.15384
1.78643 -2.90882
1.80905 -2.61912
1.83166 -2.28474
1.85427 -1.90568
1.87688 -1.48194
1.8995 -1.01352
1.92211 -0.500423
1.94472 0.0573553
1.96734 0.659814
1.98995 1.30695
2.01256 1.98135
2.03518 2.59871
2.05779 3.14788
2.0804 3.62887
2.10302 4.04167
2.12563 4.38628
2.14824 4.6627
2.17085 4.87093
2.19347 5.01098
2.21608 5.08284
2.23869 5.08651
2.26131 5.022
2.28392 4.8893
2.30653 4.68841
2.32915 4.41933
2.35176 4.08206
2.37437 3.67661
2.39698 3.20297
2.4196 2.66114
2.44221 2.05113
2.46482 1.37292
2.48744 0.626533
2.51005 -0.174825
2.53266 -0.93118
2.55528 -1.62188
2.57789 -2.24691
2.6005 -2.80629
2.62312 -3.30001
2.64573 -3.72807
2.66834 -4.09048
2.69095 -4.38722
2.71357 -4.6183
2.73618 -4.78373
2.75879 -4.8835
2.78141 -4.9176
2.80402 -4.88605
2.82663 -4.78884
2.84925 -4.62598
2.87186 -4.39745
2.89447 -4.10326
2.91709 -3.74342
2.9397 -3.31792
2.96231 -2.82675
2.98492 -2.26993
3.00754 -1.65327
3.03015 -1.05239
3.05276 -0.490572
3.07538 0.0321951
3.09799 0.515907
3.1206 0.960564
3.14322 1.36617
3.16583 1.73271
3.18844 2.0602
3.21106 2.34864
3.23367 2.59802
3.25628 2.80835
3.27889 2.97962
3.30151 3.11184
3.32412 3.205
3.34673 3.2591
3.36935 3.27415
3.39196 3.25015
3.41457 3.18709
3.43719 3.08498
3.4598 2.94381
3.48241 2.76358
3.50503 2.54537
3.52764 2.31812
3.55025 2.09486
3.57286 1.8756
3.59548 1.66032
3.61809 1.44903
3.6407 1.24173
3.66332 1.03842
3.68593 0.839097
3.70854 0.643765
3.73116 0.452423
